NAME,CLUBS,ATWins,ATLosses,winRatio,poolWins,poolLosses,poolWinRatio,DEWins,DELosses,DEWinRatio
"
                    Michele Carey","Bozeman Fencing Association, LLC",156,152,50.6%,124,114,52.1%,32,38,45.7%
"
                    Mina Chioldi",Manhattan Fencing Center,343,164,67.7%,245,105,70.0%,98,59,62.4%
"
                    Daniel Silva",Athens Fencing Club,208,70,74.8%,141,42,77.0%,67,28,70.5%
"
                    Kristen Noelle Tom",Halberstadt Fencers' Club,41,52,44.1%,35,40,46.7%,6,12,33.3%
"
                    Ryan Wheeler",University of South Florida Fencing Club / Tampa Fencing & Tennis Academy,-,-,-,-,-,-,-,-,-
"
                    Philippe Guy",Spartak,29,12,70.7%,22,7,75.9%,7,5,58.3%
"
                    Sean McNary","Louisville Fencing Center, Inc.",25,46,35.2%,20,35,36.4%,5,11,31.2%
"
                    Matt Brown",Birmingham Fencing Club,18,31,36.7%,16,23,41.0%,2,8,20.0%
"
                    Clayton Ritter",Ligonier Fencing Club,20,10,66.7%,16,6,72.7%,4,4,50.0%
"
                    Justin Park",LA Fencing Academy of Pomona,92,37,71.3%,67,24,73.6%,25,13,65.8%
"
                    agniv sarkar",Academy Of Fencing Masters (AFM),264,195,57.5%,192,139,58.0%,72,56,56.2%
"
                    Jack Spigel",Rhode Island Fencing Academy And Club / University of Rhode Island,6,8,42.9%,4,6,40.0%,2,2,50.0%
"
                    Le Qiu",Brandeis University NCAA,93,76,55.0%,70,57,55.1%,23,19,54.8%
"
                    Alexander Huang",Manhattan Fencing Center / Advance Fencing And Fitness Academy,373,286,56.6%,290,203,58.8%,83,83,50.0%
"
                    Milan Merchant",Fencing Club Of Mercer County,25,22,53.2%,20,17,54.1%,5,5,50.0%
"
                    Benjamin Papsun",Boston Fencing Club / Rogue Fencing Academy,28,54,34.1%,20,42,32.3%,8,12,40.0%
"
                    Leonardo Song",Epic Fencing Club / Bluegrass Fencers' Club,597,303,66.3%,444,198,69.2%,153,105,59.3%
"
                    Ada Buricea",Academy Of Fencing Masters (AFM),88,61,59.1%,64,43,59.8%,24,18,57.1%
"
                    Kirsten Denman",American Fencing Academy Of Dayton,8,5,61.5%,7,3,70.0%,1,2,33.3%
"
                    Jonas DeLisle",Wasatch Fencing,73,57,56.2%,52,40,56.5%,21,17,55.3%
"
                    Sherif Farrag",Farrag Fencing Team (FFT),13,5,72.2%,8,3,72.7%,5,2,71.4%
"
                    Cathy Kelley",Olympian Fencing Club,18,45,28.6%,14,35,28.6%,4,10,28.6%
"
                    Maciek Zmyslowski",Illinois Fencing Academy,146,21,87.4%,96,11,89.7%,50,10,83.3%
"
                    Antonio Wong",Bluegrass Fencers' Club,386,305,55.9%,281,229,55.1%,105,76,58.0%
"
                    Kenneth La Mers-Noble",Hangtown Saber Club,15,6,71.4%,10,3,76.9%,5,3,62.5%
"
                    Aman Singleton",Olympia Fencing Center,488,238,67.2%,340,160,68.0%,148,78,65.5%
"
                    Cathleen Shi",Capital Fencing Academy / Capital Fencing Academy,354,261,57.6%,270,186,59.2%,84,75,52.8%
"
                    Patrick Pane",Cardinal Fencing Academy,37,27,57.8%,27,20,57.4%,10,7,58.8%
"
                    Matthew Nabavi",North Shore Fencers Club,55,47,53.9%,46,33,58.2%,9,14,39.1%
"
                    Sophia Kovacs",University Of North Carolina/Chapel Hill NCAA / Durkan Fencing Academy,256,96,72.7%,173,60,74.2%,83,36,69.7%
"
                    Eva Nicholas",Alle Fencing Club,126,196,39.1%,103,154,40.1%,23,42,35.4%
"
                    Anish Sarkar",Academy Of Fencing Masters (AFM),290,262,52.5%,223,194,53.5%,67,68,49.6%
"
                    Tyrese Goldson",South Florida Fencing Club,104,85,55.0%,77,60,56.2%,27,25,51.9%
"
                    Agasthya Prabhakar",Columbus International Fencing Academy / Columbus International Fencing Academy,149,171,46.6%,116,128,47.5%,33,43,43.4%
"
                    Heonjun Cheong",Frisco Fencing Academy,537,306,63.7%,393,208,65.4%,144,98,59.5%
"
                    Daniel Kim",Plymouth/Ann Arbor Fencing Academy / Plymouth/Ann Arbor Fencing Academy,115,100,53.5%,90,70,56.2%,25,30,45.5%
"
                    Julian Spier",Ataba Fencing Club,278,171,61.9%,209,122,63.1%,69,49,58.5%
"
                    Alexandra Cody",University Of California San Diego NCAA / Sacramento Saber Fencing LLC,408,239,63.1%,312,165,65.4%,96,74,56.5%
"
                    Polina Popova",Way Of The Sword.Org,40,94,29.9%,32,75,29.9%,8,19,29.6%
"
                    Louis Rivera",Long Island Fencing Center / Long Island Fencing Center,46,67,40.7%,37,55,40.2%,9,12,42.9%
"
                    Ansel Edison",Massialas Foundation (M Team),300,464,39.3%,237,369,39.1%,63,95,39.9%
"
                    Alex Power",Integrity Fencing Studio,68,68,50.0%,54,50,51.9%,14,18,43.8%
"
                    Nicholas Didycz",Twin Tiers Fencing Club,33,26,55.9%,24,18,57.1%,9,8,52.9%
"
                    Kevin Liu",Star Fencing Academy,108,87,55.4%,84,64,56.8%,24,23,51.1%
