NAME,CLUBS,ATWins,ATLosses,winRatio,poolWins,poolLosses,poolWinRatio,DEWins,DELosses,DEWinRatio
"
                    Conor Daly",Hills Fencing Institute (H3),37,53,41.1%,29,45,39.2%,8,8,50.0%
"
                    Valentin Matveev",University Of Notre Dame NCAA / Battle Born Fencing Club,160,56,74.1%,112,36,75.7%,48,20,70.6%
"
                    Ibla Vadasz",Bergen Fencing Club,469,227,67.4%,330,148,69.0%,139,79,63.8%
"
                    Lily Padanilam",Nellya Fencers,185,224,45.2%,148,170,46.5%,37,54,40.7%
"
                    Kai McFarland",Northwest Fencing Center,87,49,64.0%,63,33,65.6%,24,16,60.0%
"
                    Alison Frey",Space City Fencing Academy,59,119,33.1%,50,93,35.0%,9,26,25.7%
"
                    Mariel Zagunis ",Oregon Fencing Alliance,55,3,94.8%,28,2,93.3%,27,1,96.4%
"
                    Connor Desautels",Candlewood Fencing Center,87,141,38.2%,73,110,39.9%,14,31,31.1%
"
                    Claudia Fodor",Manchen Academy Of Fencing,46,18,71.9%,31,11,73.8%,15,7,68.2%
"
                    Elise Kelley",Vivo Fencing Club,92,106,46.5%,71,78,47.7%,21,28,42.9%
"
                    Sloane Paulus",Gutkovskiy Fencing Academy,571,519,52.4%,428,379,53.0%,143,140,50.5%
"
                    Eythan Huang",AIC  Fencing Club,550,526,51.1%,413,392,51.3%,137,134,50.6%
"
                    Sama Abuelfutuh",Kaizen Academy LLC,343,149,69.7%,242,98,71.2%,101,51,66.4%
"
                    Trisha Nath",Bergen Fencing Club,586,331,63.9%,417,225,65.0%,169,106,61.5%
"
                    Anisha Bhatt",Davis Fencing Academy / Davis Fencing Academy,209,291,41.8%,164,227,41.9%,45,64,41.3%
"
                    Joseph Barletta",RedStar Fencing Club Chicago,102,79,56.4%,82,56,59.4%,20,23,46.5%
"
                    Molly Kettelle",University Of North Carolina/Chapel Hill NCAA / Massialas Foundation (M Team),159,173,47.9%,120,133,47.4%,39,40,49.4%
"
                    Andy Wiseman",Orion Fencing / Oregon Fencing Alliance,29,11,72.5%,21,6,77.8%,8,5,61.5%
"
                    Katya Seregin",Marx Fencing Academy,183,150,55.0%,136,108,55.7%,47,42,52.8%
"
                    Milan Merchant",Fencing Club Of Mercer County,25,22,53.2%,20,17,54.1%,5,5,50.0%
"
                    Natalie Olsen",Nazlymov Fencing Foundation,351,189,65.0%,252,127,66.5%,99,62,61.5%
"
                    Ray Cao",Tim Morehouse Fencing Club (Port Chester),42,50,45.7%,34,37,47.9%,8,13,38.1%
"
                    Kateryna Varan",Windy City Fencing-Chicago,120,239,33.4%,96,192,33.3%,24,47,33.8%
"
                    Diya Ranjan",Bergen Fencing Club,119,138,46.3%,90,104,46.4%,29,34,46.0%
"
                    Dominick Vaccaro",Elite Fencing Academy (GA) / Elite Fencing Academy (VA),269,347,43.7%,223,265,45.7%,46,82,35.9%
"
                    Kimberly Chung",Kaizen Academy LLC,30,17,63.8%,21,11,65.6%,9,6,60.0%
"
                    Paul Ross",Birmingham Fencing Club / Auburn Fencing Club,172,220,43.9%,136,170,44.4%,36,50,41.9%
"
                    Ceana Oh",Maximum Fencing Club,328,271,54.8%,257,192,57.2%,71,79,47.3%
"
                    Wendong Hou",Star Fencing Academy,143,194,42.4%,112,148,43.1%,31,46,40.3%
